#Parameters = {P=600; R=140; deta_h=25; eps_Al2O3=1; eps_substrate=1; h=750; phi=0; theta=0}
#"Frequency / THz"	"SZmin(1),Zmax(1) [Mag]"	"SZmin(1),Zmax(1) [Pha in deg.]"
#---------------------------------------------------------------------------
200.00000000000	0.99983778938377	-115.54331825650
200.10000000000	0.99987554006381	-116.09725430919
200.20000000000	0.99990888987562	-116.65168999010
200.30000000000	0.99993788544730	-117.20662548954
200.40000000000	0.99996257329152	-117.76206103863
200.50000000000	0.99998299979380	-118.31799690896
200.60000000000	0.99999921120098	-118.87443341216
200.70000000000	1.0000000000000	-119.43137089945
200.80000000000	1.0000000000000	-119.98880976122
200.90000000000	1.0000000000000	-120.54675042661
201.00000000000	1.0000000000000	-121.10519336300
201.10000000000	1.0000000000000	-121.66413907559
201.20000000000	1.0000000000000	-122.22358810690
201.30000000000	0.99999851892689	-122.78354103632
201.40000000000	0.99998265422882	-123.34399847955
201.50000000000	0.99996298264851	-123.90496108815
201.60000000000	0.99993954847149	-124.46642954903
201.70000000000	0.99991239573590	-125.02840458389
201.80000000000	0.99988156822420	-125.59088694872
201.90000000000	0.99984710945535	-126.15387743326
202.00000000000	0.99980906267720	-126.71737686048
202.10000000000	0.99976747085930	-127.28138608596
202.20000000000	0.99972237668591	-127.84590599743
202.30000000000	0.99967382254934	-128.41093751413
202.40000000000	0.99962185054374	-128.97648158628
202.50000000000	0.99956650245893	-129.54253919449
202.60000000000	0.99950781977492	-130.10911134920
202.70000000000	0.99944584365642	-130.67619909007
202.80000000000	0.99938061494787	-131.24380348542
202.90000000000	0.99931217416871	-131.81192563161
203.00000000000	0.99924056150902	-132.38056665247
203.10000000000	0.99916581682554	-132.94972769867
203.20000000000	0.99908797963779	-133.51940994716
203.30000000000	0.99900708912488	-134.08961460052
203.40000000000	0.99892318412233	-134.66034288638
203.50000000000	0.99883630311947	-135.23159605680
203.60000000000	0.99874648425695	-135.80337538768
203.70000000000	0.99865376532477	-136.37568217811
203.80000000000	0.99855818376055	-136.94851774977
203.90000000000	0.99845977664817	-137.52188344636
204.00000000000	0.99835858071672	-138.09578063293
204.10000000000	0.99825463233984	-138.67021069529
204.20000000000	0.99814796753529	-139.24517503939
204.30000000000	0.99803862196505	-139.82067509074
204.40000000000	0.99792663093546	-140.39671229376
204.50000000000	0.99781202939803	-140.97328811120
204.60000000000	0.99769485195031	-141.55040402353
204.70000000000	0.99757513283728	-142.12806152832
204.80000000000	0.99745290595290	-142.70626213967
204.90000000000	0.99732820484217	-143.28500738761
205.00000000000	0.99720106270343	-143.86429881748
205.10000000000	0.99707151239097	-144.44413798939
205.20000000000	0.99693958641797	-145.02452647760
205.30000000000	0.99680531695983	-145.60546586995
205.40000000000	0.99666873585778	-146.18695776732
205.50000000000	0.99652987462275	-146.76900378304
205.60000000000	0.99638876443972	-147.35160554231
205.70000000000	0.99624543617215	-147.93476468171
205.80000000000	0.99609992036703	-148.51848284860
205.90000000000	0.99595224725988	-149.10276170061
206.00000000000	0.99580244678043	-149.68760290512
206.10000000000	0.99565054855829	-150.27300813873
206.20000000000	0.99549658192913	-150.85897908672
206.30000000000	0.99534057594108	-151.44551744262
206.40000000000	0.99518255936138	-152.03262490767
206.50000000000	0.99502256068344	-152.62030319033
206.60000000000	0.99486060813411	-153.20855400586
206.70000000000	0.99469672968121	-153.79737907581
206.80000000000	0.99453095304143	-154.38678012761
206.90000000000	0.99436330568846	-154.97675889412
207.00000000000	0.99419381486132	-155.56731711321
